Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,spike-in_information,SRA Study,strain/background,time_after_lps/ifng_treatment,treatment,chip_antibody
SRR7264055,ChIP-Seq,50,1462199985,PRJNA474681,SAMN09369220,623341803,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168191,GSM3176445,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:12:00Z,1,GSM3176445,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,0h,none,none
SRR7264056,ChIP-Seq,50,1544066653,PRJNA474681,SAMN09369218,668223666,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168192,GSM3176446,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:11:00Z,1,GSM3176446,Primary mouse bone marrow derived macrophages (BMDM),"spike-in chromatin (Active motif, Catalog No. 53083), spike-in antibody (Active motif, Catalog No. 61686)",SRP149804,C57BL/6,0h,none,H3K18la (PTM biolabs) (please see description field)
SRR7264057,ChIP-Seq,50,2176468067,PRJNA474681,SAMN09368872,1003349333,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168193,GSM3176447,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:20:00Z,1,GSM3176447,Primary mouse bone marrow derived macrophages (BMDM),"spike-in chromatin (Active motif, Catalog No. 53083), spike-in antibody (Active motif, Catalog No. 61686)",SRP149804,C57BL/6,0h,none,"H3K18ac (Abcam\, ab1191\, lot GR 300534-1)"
SRR7264058,ChIP-Seq,50,1651877870,PRJNA474681,SAMN09368870,702673599,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168194,GSM3176448,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:13:00Z,1,GSM3176448,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,24h,LPS/IFNg,none
SRR7264059,ChIP-Seq,50,1458326010,PRJNA474681,SAMN09369020,628816303,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168195,GSM3176449,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:13:00Z,1,GSM3176449,Primary mouse bone marrow derived macrophages (BMDM),"spike-in chromatin (Active motif, Catalog No. 53083), spike-in antibody (Active motif, Catalog No. 61686)",SRP149804,C57BL/6,24h,LPS/IFNg,H3K18la (PTM biolabs) (please see description field)
SRR7264060,ChIP-Seq,50,1981517095,PRJNA474681,SAMN09369018,913965455,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168196,GSM3176450,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:20:00Z,1,GSM3176450,Primary mouse bone marrow derived macrophages (BMDM),"spike-in chromatin (Active motif, Catalog No. 53083), spike-in antibody (Active motif, Catalog No. 61686)",SRP149804,C57BL/6,24h,LPS/IFNg,"H3K18ac (Abcam\, ab1191\, lot GR 300534-1)"
SRR7264061,RNA-Seq,100,3907643384,PRJNA474681,SAMN09369017,1826041056,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168197,GSM3176451,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:23:00Z,1,GSM3176451,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,0h,LPS/IFNg,
SRR7264062,RNA-Seq,100,3730955096,PRJNA474681,SAMN09369015,1646344688,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168198,GSM3176452,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:25:00Z,1,GSM3176452,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,0h,LPS/IFNg,
SRR7264063,RNA-Seq,100,4232646560,PRJNA474681,SAMN09369013,1847854203,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168199,GSM3176453,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:42:00Z,1,GSM3176453,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,0h,LPS/IFNg,
SRR7264064,RNA-Seq,100,3748171075,PRJNA474681,SAMN09369011,1645983537,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168200,GSM3176454,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:32:00Z,1,GSM3176454,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,0h,LPS/IFNg,
