sample_id	geo_accession	time	treatment	lactate	condition
SRR7264061	GSM3176451	0h	LPS/IFNg	no_LA	BMDM_0h
SRR7264062	GSM3176452	0h	LPS/IFNg	no_LA	BMDM_0h
SRR7264063	GSM3176453	0h	LPS/IFNg	no_LA	BMDM_0h
SRR7264064	GSM3176454	0h	LPS/IFNg	no_LA	BMDM_0h
SRR7264065	GSM3176455	4h	LPS/IFNg	no_LA	M1_4h
SRR7264066	GSM3176456	4h	LPS/IFNg	no_LA	M1_4h
SRR7264067	GSM3176457	4h	LPS/IFNg	no_LA	M1_4h
SRR7264068	GSM3176458	4h	LPS/IFNg	no_LA	M1_4h
SRR7264069	GSM3176459	8h	LPS/IFNg	no_LA	M1_8h
SRR7264070	GSM3176460	8h	LPS/IFNg	no_LA	M1_8h
SRR7264071	GSM3176461	8h	LPS/IFNg	no_LA	M1_8h
SRR7264072	GSM3176462	8h	LPS/IFNg	no_LA	M1_8h
SRR7264073	GSM3176463	16h	LPS/IFNg	no_LA	M1_16h
SRR7264074	GSM3176464	16h	LPS/IFNg	no_LA	M1_16h
SRR7264075	GSM3176465	16h	LPS/IFNg	no_LA	M1_16h
SRR7264076	GSM3176466	16h	LPS/IFNg	no_LA	M1_16h
SRR7264077	GSM3176467	24h	LPS/IFNg	no_LA	M1_24h
SRR7264078	GSM3176468	24h	LPS/IFNg	no_LA	M1_24h
SRR7264079	GSM3176469	24h	LPS/IFNg	no_LA	M1_24h
SRR7264080	GSM3176470	24h	LPS/IFNg	no_LA	M1_24h
SRR7264081	GSM3176471	8h	LPS/IFNg, lactic acid (LA)	LA	M1_Lac_8h
SRR7264082	GSM3176472	8h	LPS/IFNg, lactic acid (LA)	LA	M1_Lac_8h
SRR7264083	GSM3176473	8h	LPS/IFNg, lactic acid (LA)	LA	M1_Lac_8h
SRR7264084	GSM3176474	8h	LPS/IFNg, lactic acid (LA)	LA	M1_Lac_8h
SRR7264085	GSM3176475	16h	LPS/IFNg, lactic acid (LA)	LA	M1_Lac_16h
SRR7264086	GSM3176476	16h	LPS/IFNg, lactic acid (LA)	LA	M1_Lac_16h
SRR7264087	GSM3176477	16h	LPS/IFNg, lactic acid (LA)	LA	M1_Lac_16h
SRR7264088	GSM3176478	16h	LPS/IFNg, lactic acid (LA)	LA	M1_Lac_16h
SRR7264089	GSM3176479	24h	LPS/IFNg, lactic acid (LA)	LA	M1_Lac_24h
SRR7264090	GSM3176480	24h	LPS/IFNg, lactic acid (LA)	LA	M1_Lac_24h
SRR7264091	GSM3176481	24h	LPS/IFNg, lactic acid (LA)	LA	M1_Lac_24h
SRR7264092	GSM3176482	24h	LPS/IFNg, lactic acid (LA)	LA	M1_Lac_24h
