geo_accession	run_accession	experiment	biosample	bioproject	sra_study	organism	source_name	cell_type	strain_background	assay_type	library_layout	library_selection	library_source	instrument	time	treatment
GSM3176451	SRR7264061	SRX4168197	SAMN09369017	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	0h	LPS/IFNg
GSM3176452	SRR7264062	SRX4168198	SAMN09369015	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	0h	LPS/IFNg
GSM3176453	SRR7264063	SRX4168199	SAMN09369013	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	0h	LPS/IFNg
GSM3176454	SRR7264064	SRX4168200	SAMN09369011	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	0h	LPS/IFNg
GSM3176455	SRR7264065	SRX4168201	SAMN09369010	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	4h	LPS/IFNg
GSM3176456	SRR7264066	SRX4168202	SAMN09369008	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	4h	LPS/IFNg
GSM3176457	SRR7264067	SRX4168203	SAMN09369006	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	4h	LPS/IFNg
GSM3176458	SRR7264068	SRX4168204	SAMN09369005	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	4h	LPS/IFNg
GSM3176459	SRR7264069	SRX4168205	SAMN09369003	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	8h	LPS/IFNg
GSM3176460	SRR7264070	SRX4168206	SAMN09369001	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	8h	LPS/IFNg
GSM3176461	SRR7264071	SRX4168207	SAMN09368999	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	8h	LPS/IFNg
GSM3176462	SRR7264072	SRX4168208	SAMN09368997	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	8h	LPS/IFNg
GSM3176463	SRR7264073	SRX4168209	SAMN09368996	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	16h	LPS/IFNg
GSM3176464	SRR7264074	SRX4168210	SAMN09368994	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	16h	LPS/IFNg
