sample	input_reads	unique_reads	unique_percent	multi_reads	multi_percent
SRR7264061	37956949	33071796	87.13	3145753	8.29
SRR7264062	36385681	31419751	86.35	2942664	8.09
SRR7264063	41274340	35861979	86.89	3267349	7.92
SRR7264064	36583144	31622471	86.44	2903495	7.94
SRR7264065	52847763	45805670	86.67	4205271	7.96
SRR7264066	51111434	43593351	85.29	4129817	8.08
SRR7264067	60661306	52670475	86.83	4910729	8.10
SRR7264068	57163156	49348003	86.33	4592904	8.03
SRR7264069	43535056	37773313	86.77	3588837	8.24
SRR7264070	46704431	41266318	88.36	3993004	8.55
SRR7264071	44619225	39631118	88.82	3899283	8.74
SRR7264072	46526949	40041713	86.06	3942855	8.47
SRR7264073	44475388	39119480	87.96	3558624	8.00
SRR7264074	47550480	41656848	87.61	3975455	8.36
SRR7264075	54359688	47594723	87.56	4546597	8.36
SRR7264076	46741228	40694032	87.06	3602653	7.71
SRR7264077	44085189	39122974	88.74	3595587	8.16
SRR7264078	45658421	40434196	88.56	3887306	8.51
SRR7264079	36846027	32377607	87.87	2979616	8.09
SRR7264080	40412930	35121121	86.91	3586982	8.88
SRR7264081	41259470	36842999	89.30	3213790	7.79
SRR7264082	46760683	41771448	89.33	3708768	7.93
SRR7264083	59658375	53157054	89.10	4790443	8.03
SRR7264084	45010264	39924359	88.70	3519037	7.82
SRR7264085	52044636	45373025	87.18	3923352	7.54
SRR7264086	39182727	34590287	88.28	3032438	7.74
SRR7264087	43012065	38226547	88.87	3328680	7.74
SRR7264088	35779779	31253514	87.35	2831874	7.91
SRR7264089	35611089	31317917	87.94	3147050	8.84
SRR7264090	45334910	39425450	86.96	3862629	8.52
SRR7264091	55958611	49358931	88.21	4857792	8.68
SRR7264092	45596304	40607362	89.06	3983819	8.74
