"Status","SRR7264061_Aligned.sortedByCoord.out.bam","SRR7264062_Aligned.sortedByCoord.out.bam","SRR7264063_Aligned.sortedByCoord.out.bam","SRR7264064_Aligned.sortedByCoord.out.bam","SRR7264065_Aligned.sortedByCoord.out.bam","SRR7264066_Aligned.sortedByCoord.out.bam","SRR7264067_Aligned.sortedByCoord.out.bam","SRR7264068_Aligned.sortedByCoord.out.bam","SRR7264069_Aligned.sortedByCoord.out.bam","SRR7264070_Aligned.sortedByCoord.out.bam","SRR7264071_Aligned.sortedByCoord.out.bam","SRR7264072_Aligned.sortedByCoord.out.bam","SRR7264073_Aligned.sortedByCoord.out.bam","SRR7264074_Aligned.sortedByCoord.out.bam","SRR7264075_Aligned.sortedByCoord.out.bam","SRR7264076_Aligned.sortedByCoord.out.bam","SRR7264077_Aligned.sortedByCoord.out.bam","SRR7264078_Aligned.sortedByCoord.out.bam","SRR7264079_Aligned.sortedByCoord.out.bam","SRR7264080_Aligned.sortedByCoord.out.bam","SRR7264081_Aligned.sortedByCoord.out.bam","SRR7264082_Aligned.sortedByCoord.out.bam","SRR7264083_Aligned.sortedByCoord.out.bam","SRR7264084_Aligned.sortedByCoord.out.bam","SRR7264085_Aligned.sortedByCoord.out.bam","SRR7264086_Aligned.sortedByCoord.out.bam","SRR7264087_Aligned.sortedByCoord.out.bam","SRR7264088_Aligned.sortedByCoord.out.bam","SRR7264089_Aligned.sortedByCoord.out.bam","SRR7264090_Aligned.sortedByCoord.out.bam","SRR7264091_Aligned.sortedByCoord.out.bam","SRR7264092_Aligned.sortedByCoord.out.bam"
"Assigned",39369376,36880339,41831186,37275718,53786196,51541941,62241095,58191336,44650737,48864046,47505201,47896763,45964499,49505516,56375326,47700750,46360417,48096391,38104262,42599357,42773193,48658403,62027294,46271208,52747468,40456339,44662287,36786272,38056365,47652813,59466935,49053271
"Unassigned_Unmapped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Read_Type",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Singleton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_MappingQuality",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Chimera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_FragmentLength",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Duplicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_MultiMapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Secondary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_NonSplit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_NoFeatures",1633917,2009103,2331753,1658619,2507698,2292760,2611897,2531843,2127091,2460430,1876413,1989471,1973931,2062341,2588748,1956495,1897966,2011622,1804697,1886284,2201403,2516977,3302441,2585197,2586897,1762708,2030193,1627020,1478349,1865354,2709262,1878350
"Unassigned_Overlapping_Length",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Ambiguity",1046918,979362,1094148,994806,1407450,1372076,1645239,1546446,1234717,1322309,1330341,1331788,1286778,1399768,1584565,1295451,1280000,1394826,1067909,1103522,1092653,1255093,1584306,1185383,1333533,1059145,1131742,952169,1063942,1281613,1583423,1330553
