sample_id,PC1,PC2,geo_accession,time,treatment,lactate,condition
SRR7264061,-47.8814860729085,-102.545202888845,GSM3176451,0h,LPS/IFNg,no_LA,BMDM_0h
SRR7264062,-49.2681202943371,-103.404314593902,GSM3176452,0h,LPS/IFNg,no_LA,BMDM_0h
SRR7264063,-49.5007221409625,-104.784054824143,GSM3176453,0h,LPS/IFNg,no_LA,BMDM_0h
SRR7264064,-52.7344033671453,-100.968355272857,GSM3176454,0h,LPS/IFNg,no_LA,BMDM_0h
SRR7264065,96.6254490607192,-30.9491750120263,GSM3176455,4h,LPS/IFNg,no_LA,M1_4h
SRR7264066,99.7218547127155,-30.8367860351038,GSM3176456,4h,LPS/IFNg,no_LA,M1_4h
SRR7264067,98.1273197919754,-29.9131869965698,GSM3176457,4h,LPS/IFNg,no_LA,M1_4h
SRR7264068,98.4542953804715,-30.6439404674297,GSM3176458,4h,LPS/IFNg,no_LA,M1_4h
SRR7264069,54.0545858854662,18.8020547891366,GSM3176459,8h,LPS/IFNg,no_LA,M1_8h
SRR7264070,49.9500743459453,17.6426391428602,GSM3176460,8h,LPS/IFNg,no_LA,M1_8h
SRR7264071,55.0333800528747,19.2332801639731,GSM3176461,8h,LPS/IFNg,no_LA,M1_8h
SRR7264072,51.3675889406728,20.0325699948518,GSM3176462,8h,LPS/IFNg,no_LA,M1_8h
SRR7264073,-27.4676415291041,19.0821737974065,GSM3176463,16h,LPS/IFNg,no_LA,M1_16h
SRR7264074,-28.8514678572523,20.9014446773793,GSM3176464,16h,LPS/IFNg,no_LA,M1_16h
SRR7264075,-28.6658628434993,20.7526685044958,GSM3176465,16h,LPS/IFNg,no_LA,M1_16h
SRR7264076,-26.9415630255924,20.7617127021937,GSM3176466,16h,LPS/IFNg,no_LA,M1_16h
SRR7264077,-50.5893996190512,14.8801068328925,GSM3176467,24h,LPS/IFNg,no_LA,M1_24h
SRR7264078,-48.5923483415775,9.17422657020733,GSM3176468,24h,LPS/IFNg,no_LA,M1_24h
SRR7264079,-49.1153522552303,10.7532525855767,GSM3176469,24h,LPS/IFNg,no_LA,M1_24h
SRR7264080,-53.911015346367,22.141296053958,GSM3176470,24h,LPS/IFNg,no_LA,M1_24h
SRR7264081,53.6370254960929,16.2668030961185,GSM3176471,8h,LPS/IFNg, lactic acid (LA),LA,M1_Lac_8h
SRR7264082,56.2814567173744,12.7645878474029,GSM3176472,8h,LPS/IFNg, lactic acid (LA),LA,M1_Lac_8h
SRR7264083,50.5669694101057,15.210855511032,GSM3176473,8h,LPS/IFNg, lactic acid (LA),LA,M1_Lac_8h
SRR7264084,57.3770112001436,13.2959028906671,GSM3176474,8h,LPS/IFNg, lactic acid (LA),LA,M1_Lac_8h
SRR7264085,-26.2241943773993,30.9744587268651,GSM3176475,16h,LPS/IFNg, lactic acid (LA),LA,M1_Lac_16h
SRR7264086,-22.0555532141403,29.4482029036213,GSM3176476,16h,LPS/IFNg, lactic acid (LA),LA,M1_Lac_16h
SRR7264087,-25.8244133520008,29.9065156936587,GSM3176477,16h,LPS/IFNg, lactic acid (LA),LA,M1_Lac_16h
SRR7264088,-27.1401876386503,29.7972612875178,GSM3176478,16h,LPS/IFNg, lactic acid (LA),LA,M1_Lac_16h
SRR7264089,-54.6096221201998,40.0351079029947,GSM3176479,24h,LPS/IFNg, lactic acid (LA),LA,M1_Lac_24h
SRR7264090,-50.0761118068517,32.8943844928246,GSM3176480,24h,LPS/IFNg, lactic acid (LA),LA,M1_Lac_24h
SRR7264091,-52.1771484996057,35.6932703158754,GSM3176481,24h,LPS/IFNg, lactic acid (LA),LA,M1_Lac_24h
SRR7264092,-49.5703972926817,33.6002396073666,GSM3176482,24h,LPS/IFNg, lactic acid (LA),LA,M1_Lac_24h
