sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,geo_accession,time,treatment,lactate,condition,srr_number,input_reads,unique_reads,unique_percent,multi_reads,multi_percent,assigned_reads,total_featurecounts,assigned_percent_fc,unassigned_no_features,assay_type,instrument,platform,library_layout,library_selection,library_source,center_name,bioproject,sra_study,biosample,avg_spot_len,bases,bytes,release_date,create_date,sra_time,sra_treatment,log10_input_reads,log10_assigned_reads
SRR7264061,-47.88148607290855,-102.54520288884507,12.326655127176457,3.024402542170172,-5.183380689256962,-3.6662513143125595,0.7116104504126756,-4.939304096933844,7.524033117287595,-5.116342606735964,1.1286088264823253,-3.500177077595856,-9.868927129986487,2.4737391922477614,2.242300088265654,0.9387770300171856,5.055981324546453,-2.433543038307466,-3.0255520818593675,-4.2451674255790195,-5.606270737172855,0.0018444588823012253,4.407254910370289,2.9728628590795734,0.15281253357981217,1.0033551230735234,1.3302158258232153,-3.218272399260002,-2.906848365679592,-0.48100448227705483,3.4201371325563548,8.312101007490469e-14,GSM3176451,0h,LPS/IFNg,no_LA,BMDM_0h,7264061,37956949,33071796,87.13,3145753,8.29,39369376,42050211,93.6246812174141,1633917,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09369017,100,3907643384,1826041056,2019-08-07T00:00:00Z,2018-06-05T13:23:00Z,0h,LPS/IFNg,7.579291296333857,7.595158531328092
SRR7264062,-49.268120294337116,-103.40431459390227,13.398379344202054,5.00045997534005,-3.242488601826593,-3.4229949805592863,1.2106802482306083,-0.025711207615495196,-3.350191740283571,1.0911522179061206,1.860839758643601,-1.9101688056849344,1.8383007544040582,1.7549274647971091,-0.7226091043316774,0.4508587173327605,1.4453682742972116,0.6477348101146084,-4.209191744215096,0.2559376828821808,1.9821634463524542,-0.8144186083770926,1.1031106868263665,1.0972671799216374,-3.5101817860714433,0.7580157539409327,-0.3952162338812182,10.423218741101993,5.163178340037796,0.5166338540760447,-6.90342256991738,6.046552147864759e-14,GSM3176452,0h,LPS/IFNg,no_LA,BMDM_0h,7264062,36385681,31419751,86.35,2942664,8.09,36880339,39868804,92.50425219678021,2009103,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09369015,100,3730955096,1646344688,2019-08-07T00:00:00Z,2018-06-05T13:25:00Z,0h,LPS/IFNg,7.560930507655835,7.566794904386818
SRR7264063,-49.5007221409625,-104.78405482414269,17.415941728618094,3.951537855937169,1.4615687522176204,-0.6662903417306505,3.389159023247462,4.218741384741012,-2.854139502961323,2.051087108244768,3.0237493997740814,1.385321451477978,8.597635393052839,3.0173873740510797,-1.226132462646986,0.27953863848579596,-1.831526899051402,6.5573237397978765,0.9354652163734003,-1.8283980214367621,4.281255533911849,-5.658342075962936,-5.198829578997527,1.3052529650472637,-0.5824455077503446,-1.0424921473681226,-0.6160423805229419,-6.666999079039799,-2.8338514919308015,0.5010854657267,2.5340397762946476,9.216238883169581e-14,GSM3176453,0h,LPS/IFNg,no_LA,BMDM_0h,7264063,41274340,35861979,86.89,3267349,7.92,41831186,45257087,92.4301336495652,2331753,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09369013,100,4232646560,1847854203,2019-08-07T00:00:00Z,2018-06-05T13:42:00Z,0h,LPS/IFNg,7.615680137376388,7.621500177895327
SRR7264064,-52.73440336714534,-100.96835527285702,14.85593620600714,6.342096060163688,-1.8961760550461082,-4.201434278565703,-2.8486938266598902,0.5137056825724543,0.5226359191004416,2.9419573325668775,-6.141263048723386,4.431471074486647,-0.3744259553416053,-7.214157142109905,-0.10360188707031322,-1.7715861362287448,-4.659392286217461,-4.772967766509097,6.33612625215096,5.845561493417075,-0.8821677669130679,6.17836540067476,-0.03898035519876861,-5.291048298028746,3.9672638496567574,-0.4944971262277987,-0.15505509754446056,-0.4113181521804643,0.4748172767545639,-0.6248039959155955,0.9102018969181137,6.061123825062964e-14,GSM3176454,0h,LPS/IFNg,no_LA,BMDM_0h,7264064,36583144,31622471,86.44,2903495,7.94,37275718,39929143,93.35466578884501,1658619,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09369011,100,3748171075,1645983537,2019-08-07T00:00:00Z,2018-06-05T13:32:00Z,0h,LPS/IFNg,7.563281026541612,7.571426017529052
SRR7264065,96.62544906071925,-30.94917501202619,-37.774413456262884,-5.782853637467532,14.953907169750899,-2.782402633022577,-5.5971361771441694,0.19787499354952234,-6.498024280888671,2.1840176793002115,7.396425338993975,-1.7581330538414297,-7.860596618114944,-2.1508837744805835,-1.683517272488521,2.4260498516196014,1.6514449573990226,0.7324926002124417,-0.7150606377545808,-0.7485164634361718,0.7584312490435847,-0.8066128227416787,-3.7749763070405313,-6.731903537754778,0.01393331543951272,-5.0903937159457,-7.272637417537987,1.9015414868131828,-0.7260474496317941,0.8876470428746209,2.8048374336770094,2.420980083073232e-14,GSM3176455,4h,LPS/IFNg,no_LA,M1_4h,7264065,52847763,45805670,86.67,4205271,7.96,53786196,57701344,93.21480622704387,2507698,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09369010,100,5410773378,2358061141,2019-08-07T00:00:00Z,2018-06-05T13:51:00Z,4h,LPS/IFNg,7.723026608723531,7.7306708301225555
SRR7264066,99.72185471271553,-30.836786035103753,-51.22668597815399,-7.628639132053799,8.410219066004014,0.10132291388668269,0.5688146130045858,-0.11811095197774124,1.937188065995419,0.47202388935034284,-4.018954712883761,0.7685093084911502,6.917316076805298,1.2973727553587853,2.5387948784996794,0.09500543330534714,-0.9535059654796176,-3.534619661272706,-1.6906245412706387,7.797101242442657,-4.401202913643298,-1.6909624603803275,3.790916434502177,6.283312169238763,-4.082149053915492,1.2479291847285454,-6.1812742597301735,-0.8973912966188595,-2.3956369813236815,-0.013734146833652983,0.25949946848050853,5.491787580247376e-14,GSM3176456,4h,LPS/IFNg,no_LA,M1_4h,7264066,51111434,43593351,85.29,4129817,8.08,51541941,55206777,93.36161935336308,2292760,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09369008,100,5258836267,2340028770,2019-08-07T00:00:00Z,2018-06-05T13:32:00Z,4h,LPS/IFNg,7.7085180658417665,7.712160769467442
SRR7264067,98.12731979197542,-29.913186996569742,-42.33732544900677,-8.389837270286904,11.47011275715091,1.9814904290388202,2.2932637164987204,0.31636928449308077,3.5589823233263775,-2.379042709643957,-1.882749737601875,0.5671599388018064,-0.4289358072765792,0.9830251386135779,0.7752246019364986,-1.5992165054133367,-0.3697697624540144,2.71108442779256,1.4050433503283402,-3.617684569283995,2.1024943301228527,0.008126232294969699,-1.0787822961064102,-0.023901840643317185,3.490349400773519,2.7022873560730467,3.9354101280447185,-0.9633323260728349,5.460140390275706,-11.335425273770788,-0.9204640095493061,6.183942247162122e-14,GSM3176457,4h,LPS/IFNg,no_LA,M1_4h,7264067,60661306,52670475,86.83,4910729,8.1,62241095,66498231,93.59812142972645,2611897,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09369006,100,6225494664,2757415179,2019-08-07T00:00:00Z,2018-06-05T13:45:00Z,4h,LPS/IFNg,7.782911756164023,7.794077224538742
SRR7264068,98.45429538047152,-30.643940467429623,-44.09053017055027,-7.51654500116376,11.655278338670078,0.07065622573974348,-0.59629570199717985,-0.48511681774989523,0.4981973684454164,-0.05677391988286293,-0.5823866172846588,0.02295150653563604,1.0468032990257428,-0.44463231522267965,-1.9319577563799488,-1.728281710721026,-0.3559495181740616,-0.3371114728336543,1.1061534329627973,-3.6432104440062028,2.063056616333173,2.7862422759773695,0.6723490792411759,0.11327730707423743,1.1158632510980984,1.0182251932546416,9.408853675408878,-0.2648943150191222,-1.9489010585820044,10.2667279234999,-2.187693793448906,8.308805032886113e-14,GSM3176458,4h,LPS/IFNg,no_LA,M1_4h,7264068,57163156,49348003,86.33,4592904,8.03,58191336,62269625,93.45059649869418,2531843,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09369005,100,5858240095,2569483928,2019-08-07T00:00:00Z,2018-06-05T14:00:00Z,4h,LPS/IFNg,7.757116198347547,7.764858328163805
SRR7264069,54.05458588546622,18.802054789136626,13.33896484266799,12.927349235042389,-26.930424656270258,-7.2416466718945705,1.44381113021808,9.07945970333316,-9.939125195988149,5.292993244333442,1.6470579071991975,-2.5900981396203977,2.0912308379897717,-1.758936832408464,-2.2137860176537667,4.423128590323813,-0.7766139504697768,5.387122077559356,-1.186748227228158,0.11888851523419092,-10.741249628652714,0.7445940022105557,2.408067919905395,1.4309816319752824,5.450313311849954,0.27185916737470733,2.1939305954316413,-0.34150027694947066,2.448988392111788,0.23179741333929982,0.8066649168394026,3.606837051250977e-14,GSM3176459,8h,LPS/IFNg,no_LA,M1_8h,7264069,43535056,37773313,86.77,3588837,8.24,44650737,48012545,92.99806331865973,2127091,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09369003,100,4446579067,1907969566,2019-08-07T00:00:00Z,2018-06-05T13:29:00Z,8h,LPS/IFNg,7.638839107437434,7.649828631699181
SRR7264070,49.950074345945325,17.642639142860176,20.115349721859005,6.795362864172287,-25.5101208133729,-1.3230585771708692,6.723297693683033,8.35569797508536,1.0925228214629914,-2.1399512591457968,9.84115446585169,-4.2826762456533,0.6832440146949263,4.920889468079541,1.208433860642417,-7.296323988376958,-0.8795735519993891,-2.4655305724639187,3.3829090934743395,1.1605716788017366,6.460385799856612,5.078998623066506,5.084884908758775,0.34502076000148674,2.5015072342290785,1.9688448045879754,-3.0595184089837115,0.43962035027510343,-2.4945079184691195,-0.6174619363088265,0.3240649942656103,5.374867217966539e-14,GSM3176460,8h,LPS/IFNg,no_LA,M1_8h,7264070,46704431,41266318,88.36,3993004,8.55,48864046,52646785,92.8148717913164,2460430,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09369001,100,4786577488,2068830422,2019-08-07T00:00:00Z,2018-06-05T13:42:00Z,8h,LPS/IFNg,7.6693580854389465,7.688989424215897
