PC,variance_explained,percent_explained
PC1,0.4575099223778481,45.75
PC2,0.2781213427412048,27.81
PC3,0.10987786456791067,10.99
PC4,0.040724094104990435,4.07
PC5,0.038992868508699534,3.9
PC6,0.012162978143995579,1.22
PC7,0.009146972175462318,0.91
PC8,0.005412079866210787,0.54
PC9,0.004798213848380874,0.48
PC10,0.0038876296951892387,0.39
PC11,0.0026707818146598076,0.27
PC12,0.002581298669119898,0.26
PC13,0.002444468685890037,0.24
PC14,0.002341343241456012,0.23
PC15,0.002210159398722699,0.22
PC16,0.0020684976643845824,0.21
PC17,0.001981201131123218,0.2
PC18,0.0019372706404451059,0.19
PC19,0.0018734462551790612,0.19
PC20,0.001858054306755148,0.19
PC21,0.0018282059141856565,0.18
PC22,0.0017694359459728274,0.18
PC23,0.0017126471851758686,0.17
PC24,0.0016981247211272114,0.17
PC25,0.001669074622858538,0.17
PC26,0.0016096277487246363,0.16
PC27,0.0015583294302090845,0.16
PC28,0.0014568152215079747,0.15
PC29,0.0013978798122804028,0.14
PC30,0.0013631217155557437,0.14
PC31,0.0013362498447740921,0.13
PC32,5.1680008009360255e-31,0
