"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000254288517081156,9,18,7.92412451361868,"GO:0001522 Pseudouridine synthesis ","https://amigo.geneontology.org/amigo/term/GO:0001522"," Nhp2  Trub1  Gar1  Dkc1  Pus3  Pus7l  Pusl1  Pus7  Trub2"
7.9533669224956e-07,29,125,3.70644533701519,"GO:0032543 Mitochondrial translation ","https://amigo.geneontology.org/amigo/term/GO:0032543"," Wars2  Mrpl16  Gatb  Rars2  Rcc1l  Ptcd3  Coa3  Mrps18b  Fastkd2  Ears2  Trub2  Mrps35  Mrps28  Mrps27  Alkbh1  Mrpl57  Mrps17  Mrps6  Mrpl49  Mrpl36  Mrpl40  Mrpl11  Mrpl20  Mrpl3  Mrpl54  Mrpl41  Mrpl12  Mrpl50  Mrpl33"
1.09010641720532e-06,29,130,3.61889151015656,"GO:0008033 Trna processing ","https://amigo.geneontology.org/amigo/term/GO:0008033"," Mettl1  Qtrt2  Rpp14  Trub1  Adat1  Pus3  Tsen2  Tyw3  Pusl1  Trmt61a  Kti12  Osgep  Tsen15  Lage3  Dus4l  Mettl2  Trmt2a  Wdr4  Nat10  Lsm6  Trmt6  Trp53rka  Trub2  Trp53rkb  Rpp38  Pus7  Urm1  Alkbh1  Dph3"
0.000254288517081156,21,103,3.43106422239159,"GO:0043414 Macromolecule methylation ","https://amigo.geneontology.org/amigo/term/GO:0043414"," Emg1  Mettl1  Dimt1  Tfb1m  Tyw3  Trmt61a  Smyd2  Ntmt1  N6amt1  Mrm1  Wdr4  Prmt3  Hemk1  Trmt6  Mrm3  Prmt7  Mettl2  Atpsckmt  Etfbkmt  Eef1akmt1  Eef2kmt"
2.54097114784042e-08,40,194,3.38999979192243,"GO:0006399 Trna metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0006399"," Wars2  Mettl1  Lage3  Qtrt2  Rpp14  Trub1  Exosc7  Dtd1  Exosc8  Gatb  Rars2  Ears2  Adat1  Pus3  Polr2f  Exosc2  Trp53rka  Tsen2  Mars2  Tyw3  Pusl1  Trmt61a  Kti12  Osgep  Tsen15  Dus4l  Mettl2  Trmt2a  Wdr4  Nat10  Lsm6  Trmt6  Trub2  Trp53rkb  Rpp38  Cars2  Pus7  Urm1  Alkbh1  Dph3"
5.10108504565678e-05,28,151,3.10315365568284,"GO:0009451 Rna modification ","https://amigo.geneontology.org/amigo/term/GO:0009451"," Nhp2  Emg1  Mettl1  Mrm1  Dimt1  Qtrt2  Trub1  Nat10  Gar1  Dkc1  Pus3  Pus7l  Tfb1m  Tyw3  Pusl1  Pus7  Trmt61a  Kti12  Alkbh1  Osgep  Dus4l  Wdr4  Trmt6  Mrm3  Trub2  Urm1  Mettl2  Dph3"
2.12961784127673e-05,31,163,3.03268962866888,"GO:0140053 Mitochondrial gene expression ","https://amigo.geneontology.org/amigo/term/GO:0140053"," Wars2  Mrpl16  Fastkd2  Gatb  Rars2  Tfb1m  Tefm  Rcc1l  Ptcd3  Coa3  Mrps18b  Ears2  Mrpl12  Trub2  Mrps35  Mrps28  Mrps27  Alkbh1  Mrpl57  Mrps17  Mrps6  Mrpl49  Mrpl36  Mrpl40  Mrpl11  Mrpl20  Mrpl3  Mrpl54  Mrpl41  Mrpl50  Mrpl33"
0.000254288517081156,30,203,2.70140608418819,"GO:0032259 Methylation ","https://amigo.geneontology.org/amigo/term/GO:0032259"," Emg1  Mettl1  Dimt1  Tfb1m  Tyw3  Trmt61a  Smyd2  Ntmt1  N6amt1  Pemt  As3mt  Mrm1  Mettl2  Eef1akmt1  Eef2kmt  Trmt2a  Wdr4  Dnmt3b  Prmt3  Hemk1  Dph5  Trmt6  Mrm3  Atpsckmt  Etfbkmt  Cmtr2  Mgmt  Prmt7  Eef1akmt4  Mtap"
7.9533669224956e-07,50,312,2.59807361102252,"GO:0042254 Ribosome biogenesis ","https://amigo.geneontology.org/amigo/term/GO:0042254"," Nhp2  Rrp15  Ppan  Emg1  Rsl1d1  Mrm1  Znhit3  Nle1  Dimt1  Exosc7  Nop16  Wdr75  Wdr12  Nat10  Exosc8  Gar1  Mrto4  Dkc1  Lsm6  Nip7  Pwp2  Tfb1m  Tsr1  Exosc2  Wdr43  Grwd1  Rrs1  Rasl2-9  Npm3  Gtf3a  C1qbp  Aatf  Cinp  Riox2  Tsr2  Fastkd2  Nop58  Nop56  Ddx51  2810004N23Rik  Exosc1  Mrm3  Mybbp1a  Gtpbp10  Rrp9  Wdr55  Exosc5  Utp14b  Gtf2h5  Rcc1l"
0.000254288517081156,54,435,2.02797499400668,"GO:0022613 Ribonucleoprotein complex biogenesis ","https://amigo.geneontology.org/amigo/term/GO:0022613"," Nhp2  Rrp15  Ppan  Emg1  Rsl1d1  Mrm1  Znhit3  Nle1  Dimt1  Exosc7  Nop16  Wdr75  Wdr12  Nat10  Exosc8  Gar1  Mrto4  Ruvbl1  Dkc1  Lsm6  Nip7  Pwp2  Tfb1m  Tsr1  Exosc2  Gemin8  Wdr43  Grwd1  Rrs1  Rasl2-9  Npm3  Gtf3a  C1qbp  Aatf  Cinp  Riox2  Tsr2  Fastkd2  Nop58  Nop56  Ddx51  2810004N23Rik  Exosc1  Mrm3  Mybbp1a  Gtpbp10  Rrp9  Wdr55  Prmt7  Exosc5  Utp14b  Gtf2h5  Rcc1l  Wdr77"
