gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,gene_id_clean,contrast,gene_name_gtf,gene_type,gene_name_final,regulation_strict
ENSMUSG00000029449.12,NA,625.5911544672983,1.29100501690487,0.06957281136898902,18.556171462697495,7.270501823590604e-77,1.236421540119818e-72,UP,ENSMUSG00000029449,Lac_8h_vs_M1_8h,Rhof,protein_coding,Rhof,UP
ENSMUSG00000036959.16,NA,479.7932377005604,1.8348459621393964,0.11437111200744698,16.04291442073174,6.407549210194045e-58,5.448339093427997e-54,UP,ENSMUSG00000036959,Lac_8h_vs_M1_8h,Bcorl1,protein_coding,Bcorl1,UP
ENSMUSG00000026797.17,NA,1545.8178747349612,1.2141025390663125,0.07605518027991359,15.96344305013712,2.297023726288993e-57,1.302106182975687e-53,UP,ENSMUSG00000026797,Lac_8h_vs_M1_8h,Stxbp1,protein_coding,Stxbp1,UP
ENSMUSG00000038963.16,NA,640.58170619147,2.001014065908767,0.12683385368832195,15.776655898400788,4.504283164282156e-56,1.9149959872945592e-52,UP,ENSMUSG00000038963,Lac_8h_vs_M1_8h,Slco4a1,protein_coding,Slco4a1,UP
ENSMUSG00000031959.16,NA,909.6351247537068,0.9144121002241636,0.05875209932367947,15.563905132758697,1.2804239842978851e-54,3.629148379494973e-51,UP,ENSMUSG00000031959,Lac_8h_vs_M1_8h,Wdr59,protein_coding,Wdr59,UP
ENSMUSG00000043157.9,Arl11,2399.06143913261,-0.921197092392256,0.05915469849445208,-15.572678347412282,1.1163320121355524e-54,3.629148379494973e-51,DOWN,ENSMUSG00000043157,Lac_8h_vs_M1_8h,Arl11,protein_coding,Arl11,DOWN
ENSMUSG00000015944.10,NA,1303.7484146626734,1.6998591173836677,0.11179781891985588,15.204761003452486,3.288286330763334e-52,7.988656762994466e-49,UP,ENSMUSG00000015944,Lac_8h_vs_M1_8h,Castor2,protein_coding,Castor2,UP
ENSMUSG00000096210.3,H1f0,1549.49658888753,-1.127959329376162,0.07425904175152266,-15.18952174403777,4.149359590093117e-52,8.820501148640444e-49,DOWN,ENSMUSG00000096210,Lac_8h_vs_M1_8h,H1f0,protein_coding,H1f0,DOWN
ENSMUSG00000024947.18,NA,1586.5231999146408,1.0136001610632002,0.06712751849181543,15.099622089959784,1.6286413423229604e-51,3.0774082963938075e-48,UP,ENSMUSG00000024947,Lac_8h_vs_M1_8h,Men1,protein_coding,Men1,UP
ENSMUSG00000007033.5,Hspa1l,373.950243664063,1.1918466886397685,0.07939624109267253,15.01137424438805,6.185280257372172e-51,1.0518687605687111e-47,UP,ENSMUSG00000007033,Lac_8h_vs_M1_8h,Hspa1l,protein_coding,Hspa1l,UP
ENSMUSG00000018537.17,NA,285.65910224322886,1.6032863733803893,0.10709287091706084,14.970990689212828,1.136160770813732e-50,1.7565045516780296e-47,UP,ENSMUSG00000018537,Lac_8h_vs_M1_8h,Pcgf2,protein_coding,Pcgf2,UP
ENSMUSG00000055531.13,NA,1451.1149423332945,0.8998305066207862,0.06113921443425076,14.717730918647408,4.960264688679601e-49,7.029521774640441e-46,UP,ENSMUSG00000055531,Lac_8h_vs_M1_8h,Cpsf6,protein_coding,Cpsf6,UP
ENSMUSG00000033059.8,Pygb,2424.7942736839204,0.953207306068459,0.06660629951838107,14.311068366820264,1.8662411644367182e-46,2.4413305571085255e-43,UP,ENSMUSG00000033059,Lac_8h_vs_M1_8h,Pygb,protein_coding,Pygb,UP
ENSMUSG00000120697.2,Gm36496,162.30509843994048,-1.9917236057398215,0.14088920401696511,-14.1368078529281,2.2527352563019642e-45,2.7364296977622287e-42,DOWN,ENSMUSG00000120697,Lac_8h_vs_M1_8h,Gm36496,lncRNA,Gm36496,DOWN
