gene_name,condition,mean_vst,z,category,biological_reason
Arg1,BMDM_0h,6.754894300577011,-1.3479071317901374,Homeostático / M2-like,Gen destacado en el modelo de lactato/lactilación; metabolismo de arginina y reparación
Arg1,M1_4h,6.325264979623465,-1.3479071317901374,Homeostático / M2-like,Gen destacado en el modelo de lactato/lactilación; metabolismo de arginina y reparación
Arg1,M1_8h,11.7522275922549,-1.3479071317901374,Homeostático / M2-like,Gen destacado en el modelo de lactato/lactilación; metabolismo de arginina y reparación
Arg1,M1_Lac_8h,10.437739574239224,-1.3479071317901374,Homeostático / M2-like,Gen destacado en el modelo de lactato/lactilación; metabolismo de arginina y reparación
Arg1,M1_16h,14.617830403279676,-1.3479071317901374,Homeostático / M2-like,Gen destacado en el modelo de lactato/lactilación; metabolismo de arginina y reparación
Arg1,M1_Lac_16h,14.8528755491705,-1.3479071317901374,Homeostático / M2-like,Gen destacado en el modelo de lactato/lactilación; metabolismo de arginina y reparación
Arg1,M1_24h,15.268695125294725,-1.3479071317901374,Homeostático / M2-like,Gen destacado en el modelo de lactato/lactilación; metabolismo de arginina y reparación
Arg1,M1_Lac_24h,16.62319069687905,-1.3479071317901374,Homeostático / M2-like,Gen destacado en el modelo de lactato/lactilación; metabolismo de arginina y reparación
Cd9,BMDM_0h,13.270937779344376,-0.4731486166425382,Estado celular / membrana,Gen representativo observado en el heatmap del análisis
Cd9,M1_4h,13.848797639192426,-0.4731486166425382,Estado celular / membrana,Gen representativo observado en el heatmap del análisis
Cd9,M1_8h,13.376194055570249,-0.4731486166425382,Estado celular / membrana,Gen representativo observado en el heatmap del análisis
Cd9,M1_Lac_8h,13.09279232811935,-0.4731486166425382,Estado celular / membrana,Gen representativo observado en el heatmap del análisis
Cd9,M1_16h,12.98168460829985,-0.4731486166425382,Estado celular / membrana,Gen representativo observado en el heatmap del análisis
Cd9,M1_Lac_16h,13.402389390421575,-0.4731486166425382,Estado celular / membrana,Gen representativo observado en el heatmap del análisis
Cd9,M1_24h,13.557839830134474,-0.4731486166425382,Estado celular / membrana,Gen representativo observado en el heatmap del análisis
Cd9,M1_Lac_24h,14.72799120829785,-0.4731486166425382,Estado celular / membrana,Gen representativo observado en el heatmap del análisis
Cxcl10,BMDM_0h,8.869837103618192,-1.304745323368476,M1 inflamatorio,Quimiocina inducida en activación inflamatoria
Cxcl10,M1_4h,18.207490337580424,-1.304745323368476,M1 inflamatorio,Quimiocina inducida en activación inflamatoria
Cxcl10,M1_8h,13.0907077600955,-1.304745323368476,M1 inflamatorio,Quimiocina inducida en activación inflamatoria
Cxcl10,M1_Lac_8h,13.607389523250324,-1.304745323368476,M1 inflamatorio,Quimiocina inducida en activación inflamatoria
Cxcl10,M1_16h,11.857832178745275,-1.304745323368476,M1 inflamatorio,Quimiocina inducida en activación inflamatoria
Cxcl10,M1_Lac_16h,12.844608938377375,-1.304745323368476,M1 inflamatorio,Quimiocina inducida en activación inflamatoria
Cxcl10,M1_24h,10.547397117645449,-1.304745323368476,M1 inflamatorio,Quimiocina inducida en activación inflamatoria
Cxcl10,M1_Lac_24h,10.947041436905,-1.304745323368476,M1 inflamatorio,Quimiocina inducida en activación inflamatoria
Dusp1,BMDM_0h,8.32222070363092,-2.0897887301717732,Regulación / estrés,Regulador de señalización MAPK; apareció entre genes destacados
Dusp1,M1_4h,13.90969894140185,-2.0897887301717732,Regulación / estrés,Regulador de señalización MAPK; apareció entre genes destacados
Dusp1,M1_8h,12.454057143261926,-2.0897887301717732,Regulación / estrés,Regulador de señalización MAPK; apareció entre genes destacados
Dusp1,M1_Lac_8h,12.185419285749925,-2.0897887301717732,Regulación / estrés,Regulador de señalización MAPK; apareció entre genes destacados
