contrast,gene_name,category,biological_reason,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj,regulation,significant
Lac_16h_vs_M1_16h,Arg1,Homeostático / M2-like,Gen destacado en el modelo de lactato/lactilación; metabolismo de arginina y reparación,ENSMUSG00000019987.10,ENSMUSG00000019987,protein_coding,25501.470154949537,0.232833421336895,0.556590027643459,NS,No_DEG
Lac_16h_vs_M1_16h,Cd9,Estado celular / membrana,Gen representativo observado en el heatmap del análisis,ENSMUSG00000030342.9,ENSMUSG00000030342,protein_coding,12792.433176975326,0.42145116330227306,5.510228483188631e-7,NS,No_DEG
Lac_16h_vs_M1_16h,Cxcl10,M1 inflamatorio,Quimiocina inducida en activación inflamatoria,ENSMUSG00000034855.14,ENSMUSG00000034855,protein_coding,42419.778984996985,0.983611867753552,9.971600588486066e-11,UP,DEG
Lac_16h_vs_M1_16h,Dusp1,Regulación / estrés,Regulador de señalización MAPK; apareció entre genes destacados,ENSMUSG00000024190.8,ENSMUSG00000024190,protein_coding,5659.963924419032,0.9102437497164528,2.8903102771715997e-26,UP,DEG
Lac_16h_vs_M1_16h,Hcar2,Respuesta a metabolitos,Receptor asociado a señales metabólicas; apareció en genes representativos,ENSMUSG00000045502.7,ENSMUSG00000045502,protein_coding,2496.2703813365124,1.2481031324695817,9.300517907959778e-13,UP,DEG
Lac_16h_vs_M1_16h,Hspa1b,Estrés celular,Proteína de choque térmico; posible respuesta a estrés celular,ENSMUSG00000090877.4,ENSMUSG00000090877,protein_coding,6383.382138810836,1.975068993434787,5.257160774282383e-39,UP,DEG
Lac_16h_vs_M1_16h,Hspa1l,Estrés celular,Proteína de choque térmico; posible respuesta a estrés celular,ENSMUSG00000007033.5,ENSMUSG00000007033,protein_coding,373.950243664063,1.230858177272049,3.845602281792987e-30,UP,DEG
Lac_16h_vs_M1_16h,Il1b,M1 inflamatorio,Citocina inflamatoria asociada a respuesta innata,ENSMUSG00000027398.14,ENSMUSG00000027398,protein_coding,43216.81627437193,1.6670898289066682,4.320296357795797e-12,UP,DEG
Lac_16h_vs_M1_16h,Il6,M1 inflamatorio,Citocina proinflamatoria asociada a activación M1,ENSMUSG00000025746.12,ENSMUSG00000025746,protein_coding,2062.314052264062,1.3255856699023691,1.2864540344886176e-19,UP,DEG
Lac_16h_vs_M1_16h,Nos2,M1 inflamatorio,Marcador de activación M1 y producción de óxido nítrico,ENSMUSG00000020826.10,ENSMUSG00000020826,protein_coding,24104.52636928401,3.6820318254561775,8.982645169686137e-140,UP,DEG
Lac_16h_vs_M1_16h,Tnf,M1 inflamatorio,Citocina proinflamatoria asociada a activación M1,ENSMUSG00000024401.15,ENSMUSG00000024401,protein_coding,14965.993964820638,0.05256582265465488,0.6395687184052768,NS,No_DEG
Lac_16h_vs_M1_16h,Vegfa,Homeostático / M2-like,Gen M2-like reportado como sensible a lactato en el contexto del artículo,ENSMUSG00000023951.19,ENSMUSG00000023951,protein_coding,3717.862352374108,1.0009661342995162,3.650517659101548e-19,UP,DEG
Lac_24h_vs_M1_24h,Arg1,Homeostático / M2-like,Gen destacado en el modelo de lactato/lactilación; metabolismo de arginina y reparación,ENSMUSG00000019987.10,ENSMUSG00000019987,protein_coding,25501.470154949537,1.3648751133812809,8.1846254834423e-5,UP,DEG
Lac_24h_vs_M1_24h,Cd9,Estado celular / membrana,Gen representativo observado en el heatmap del análisis,ENSMUSG00000030342.9,ENSMUSG00000030342,protein_coding,12792.433176975326,1.1816327871706267,1.179706352370371e-48,UP,DEG
