gene_name,category,log2FoldChange_Lac_16h_vs_M1_16h,log2FoldChange_Lac_24h_vs_M1_24h,log2FoldChange_Lac_8h_vs_M1_8h,padj_Lac_16h_vs_M1_16h,padj_Lac_24h_vs_M1_24h,padj_Lac_8h_vs_M1_8h,regulation_Lac_16h_vs_M1_16h,regulation_Lac_24h_vs_M1_24h,regulation_Lac_8h_vs_M1_8h,significant_Lac_16h_vs_M1_16h,significant_Lac_24h_vs_M1_24h,significant_Lac_8h_vs_M1_8h
Arg1,Homeostático / M2-like,0.232833421336895,1.3648751133812809,-1.3218678609555137,0.556590027643459,8.1846254834423e-5,8.168762984333111e-5,NS,UP,DOWN,No_DEG,DEG,DEG
Cd9,Estado celular / membrana,0.42145116330227306,1.1816327871706267,-0.28411697572650124,5.510228483188631e-7,1.179706352370371e-48,8.15576030480371e-4,NS,UP,NS,No_DEG,DEG,No_DEG
Cxcl10,M1 inflamatorio,0.983611867753552,0.3929621641560078,0.5112534962613853,9.971600588486066e-11,0.01937230847811741,9.228863081132728e-4,UP,NS,UP,DEG,No_DEG,DEG
Dusp1,Regulación / estrés,0.9102437497164528,1.7617143473423968,-0.2699676418340057,2.8903102771715997e-26,2.166110166009072e-100,0.00225509534336601,UP,UP,NS,DEG,DEG,No_DEG
Hcar2,Respuesta a metabolitos,1.2481031324695817,2.567501691723983,0.1575064850078478,9.300517907959778e-13,5.428341466717623e-49,0.34020439678690995,UP,UP,NS,DEG,DEG,No_DEG
Hspa1b,Estrés celular,1.975068993434787,0.37265554702614634,0.8670965042258195,5.257160774282383e-39,0.03135460275917122,1.1248189930464376e-8,UP,NS,UP,DEG,No_DEG,DEG
Hspa1l,Estrés celular,1.230858177272049,0.6174021746302129,1.1918466886397685,3.845602281792987e-30,3.934598950838383e-7,1.0518687605687111e-47,UP,UP,UP,DEG,DEG,DEG
Il1b,M1 inflamatorio,1.6670898289066682,1.972802173955416,0.07340478002819893,4.320296357795797e-12,2.136148999250002e-16,0.8020824055609539,UP,UP,NS,DEG,DEG,No_DEG
Il6,M1 inflamatorio,1.3255856699023691,1.5133197039166022,0.5376428752435696,1.2864540344886176e-19,7.692270615709955e-12,3.05906422246357e-7,UP,UP,UP,DEG,DEG,DEG
Nos2,M1 inflamatorio,3.6820318254561775,3.20459754376699,1.0977867695984267,8.982645169686137e-140,1.5167983094116946e-106,2.765033933444672e-13,UP,UP,UP,DEG,DEG,DEG
Tnf,M1 inflamatorio,0.05256582265465488,0.5784884697208112,0.2937245522731187,0.6395687184052768,7.128984974925916e-9,0.00134257196111542,NS,UP,NS,No_DEG,DEG,No_DEG
Vegfa,Homeostático / M2-like,1.0009661342995162,0.911228076273248,0.23600968368115915,3.650517659101548e-19,2.640758003627784e-16,0.05001519645502242,UP,UP,NS,DEG,DEG,No_DEG
