contrast,regulation,gene_name,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj
Lac_16h_vs_M1_16h,DOWN,Gm5150,ENSMUSG00000078780.8,ENSMUSG00000078780,protein_coding,503.57550226759423,-1.2973438401445003,3.6667129630413595e-49
Lac_16h_vs_M1_16h,DOWN,Fgd2,ENSMUSG00000024013.16,ENSMUSG00000024013,protein_coding,494.8388817301603,-1.3825218477739891,1.561204370117372e-36
Lac_16h_vs_M1_16h,DOWN,Nxpe5,ENSMUSG00000047592.18,ENSMUSG00000047592,protein_coding,1501.67775472327,-1.5246908708426534,6.082930039509716e-36
Lac_16h_vs_M1_16h,DOWN,Sirpb1c,ENSMUSG00000074677.12,ENSMUSG00000074677,protein_coding,2329.2215104369766,-1.1162028215915425,6.082930039509716e-36
Lac_16h_vs_M1_16h,DOWN,Arl11,ENSMUSG00000043157.9,ENSMUSG00000043157,protein_coding,2399.06143913261,-0.7263655106246101,5.491319442681351e-35
Lac_16h_vs_M1_16h,DOWN,Gpn1,ENSMUSG00000064037.14,ENSMUSG00000064037,protein_coding,590.413672179309,-1.1624030159369472,1.1543878774434976e-32
Lac_16h_vs_M1_16h,DOWN,Slamf6,ENSMUSG00000015314.11,ENSMUSG00000015314,protein_coding,223.85901394282925,-1.09608516183534,1.6003949411758034e-32
Lac_16h_vs_M1_16h,DOWN,Sirpb1b,ENSMUSG00000095028.7,ENSMUSG00000095028,protein_coding,1727.398379393063,-1.1290125064230256,9.481133300255011e-32
Lac_16h_vs_M1_16h,DOWN,Cyb5r1,ENSMUSG00000026456.19,ENSMUSG00000026456,protein_coding,1773.465322638919,-0.6443977327142053,6.463975953777059e-30
Lac_16h_vs_M1_16h,DOWN,Pdrg1,ENSMUSG00000027472.15,ENSMUSG00000027472,protein_coding,1058.5090992302764,-0.9546612891449106,6.919390144283752e-30
Lac_16h_vs_M1_16h,UP,Nos2,ENSMUSG00000020826.10,ENSMUSG00000020826,protein_coding,24104.52636928401,3.6820318254561775,8.982645169686137e-140
Lac_16h_vs_M1_16h,UP,Serpine1,ENSMUSG00000037411.12,ENSMUSG00000037411,protein_coding,16117.5326821036,2.890413210289892,1.531150982963518e-105
Lac_16h_vs_M1_16h,UP,Rhof,ENSMUSG00000029449.12,ENSMUSG00000029449,protein_coding,625.5911544672983,1.1066296588367497,1.6794059345788207e-53
Lac_16h_vs_M1_16h,UP,Gm56555,ENSMUSG00000121137.2,ENSMUSG00000121137,lncRNA,1471.3861752439095,1.0651200248938364,1.591204845364518e-49
Lac_16h_vs_M1_16h,UP,Stxbp1,ENSMUSG00000026797.17,ENSMUSG00000026797,protein_coding,1545.8178747349612,1.0924810014435429,1.4195328831699598e-45
Lac_16h_vs_M1_16h,UP,Olfm1,ENSMUSG00000026833.19,ENSMUSG00000026833,protein_coding,1597.2944027220813,1.1263113911522038,8.012844652568801e-41
Lac_16h_vs_M1_16h,UP,Hk1,ENSMUSG00000037012.19,ENSMUSG00000037012,protein_coding,10069.134722046098,1.0463581178982733,5.44091002644489e-40
Lac_16h_vs_M1_16h,UP,Maged1,ENSMUSG00000025151.17,ENSMUSG00000025151,protein_coding,3418.0319653842644,0.673181366367434,2.215123812511674e-39
Lac_16h_vs_M1_16h,UP,Hspa1b,ENSMUSG00000090877.4,ENSMUSG00000090877,protein_coding,6383.382138810836,1.975068993434787,5.257160774282383e-39
Lac_16h_vs_M1_16h,UP,Ndrg1,ENSMUSG00000005125.14,ENSMUSG00000005125,protein_coding,3719.008870987512,1.140183394466332,2.9854470135040724e-38
Lac_24h_vs_M1_24h,DOWN,Igfbp4,ENSMUSG00000017493.13,ENSMUSG00000017493,protein_coding,3944.127039123059,-1.102840066759723,4.272548720211001e-43
Lac_24h_vs_M1_24h,DOWN,Npepl1,ENSMUSG00000039263.17,ENSMUSG00000039263,protein_coding,1047.209357527633,-1.035676971555452,8.40138495891274e-41
