gene_name,condition,mean_vst
Arg1,M1_8h,11.7522275922549
Arg1,M1_Lac_8h,10.437739574239224
Arg1,M1_16h,14.617830403279676
Arg1,M1_Lac_16h,14.8528755491705
Arg1,M1_24h,15.268695125294725
Arg1,M1_Lac_24h,16.62319069687905
Cxcl10,M1_8h,13.0907077600955
Cxcl10,M1_Lac_8h,13.607389523250324
Cxcl10,M1_16h,11.857832178745275
Cxcl10,M1_Lac_16h,12.844608938377375
Cxcl10,M1_24h,10.547397117645449
Cxcl10,M1_Lac_24h,10.947041436905
Dusp1,M1_8h,12.454057143261926
Dusp1,M1_Lac_8h,12.185419285749925
Dusp1,M1_16h,11.098699906397675
Dusp1,M1_Lac_16h,11.9985564685731
Dusp1,M1_24h,11.534757842518076
Dusp1,M1_Lac_24h,13.299526106752126
Hcar2,M1_8h,11.24959637186515
Hcar2,M1_Lac_8h,11.410380156990076
Hcar2,M1_16h,6.6458949683695625
Hcar2,M1_Lac_16h,7.770603731493355
Hcar2,M1_24h,6.392604378052275
Hcar2,M1_Lac_24h,8.712057802435055
Hspa1b,M1_8h,13.8732716326339
Hspa1b,M1_Lac_8h,14.742931917617849
Hspa1b,M1_16h,10.068804825219061
Hspa1b,M1_Lac_16h,11.992022966036174
Hspa1b,M1_24h,9.792050914057857
Hspa1b,M1_Lac_24h,10.159777901127324
Hspa1l,M1_8h,9.352008636495398
Hspa1l,M1_Lac_8h,10.523874061377825
Hspa1l,M1_16h,7.120962905124332
Hspa1l,M1_Lac_16h,8.276579036973779
Hspa1l,M1_24h,7.203284684623073
Hspa1l,M1_Lac_24h,7.77375048532232
Il1b,M1_8h,16.187460005109376
Il1b,M1_Lac_8h,16.264882384503924
Il1b,M1_16h,12.996654301012374
Il1b,M1_Lac_16h,14.657430667481774
Il1b,M1_24h,11.64909478354185
Il1b,M1_Lac_24h,13.55941495176935
Il6,M1_8h,10.446798972603574
Il6,M1_Lac_8h,10.981712117933926
Il6,M1_16h,6.357149582750583
Il6,M1_Lac_16h,7.524795140599412
Il6,M1_24h,5.168210233347359
Il6,M1_Lac_24h,6.308316421259242
Nos2,M1_8h,14.41552630993365
Nos2,M1_Lac_8h,15.512474362629874
Nos2,M1_16h,10.4365243166039
Nos2,M1_Lac_16h,14.113597611892875
Nos2,M1_24h,11.70081885259965
Nos2,M1_Lac_24h,14.895895214811075
Vegfa,M1_8h,10.55254158262885
Vegfa,M1_Lac_8h,10.7822000362259
Vegfa,M1_16h,11.008083071044226
Vegfa,M1_Lac_16h,11.999987798837424
Vegfa,M1_24h,12.5806403299935
Vegfa,M1_Lac_24h,13.5175470090405
