,M1_8h,M1_Lac_8h,M1_16h,M1_Lac_16h,M1_24h,M1_Lac_24h
Nos2,14.4155263099337,15.5124743626299,10.4365243166039,14.1135976118929,11.7008188525996,14.8958952148111
Il6,10.4467989726036,10.9817121179339,6.35714958275058,7.52479514059941,5.16821023334736,6.30831642125924
Il1b,16.1874600051094,16.2648823845039,12.9966543010124,14.6574306674818,11.6490947835418,13.5594149517693
Cxcl10,13.0907077600955,13.6073895232503,11.8578321787453,12.8446089383774,10.5473971176454,10.947041436905
Arg1,11.7522275922549,10.4377395742392,14.6178304032797,14.8528755491705,15.2686951252947,16.623190696879
Vegfa,10.5525415826288,10.7822000362259,11.0080830710442,11.9999877988374,12.5806403299935,13.5175470090405
Hcar2,11.2495963718652,11.4103801569901,6.64589496836956,7.77060373149336,6.39260437805228,8.71205780243506
Dusp1,12.4540571432619,12.1854192857499,11.0986999063977,11.9985564685731,11.5347578425181,13.2995261067521
Hspa1b,13.8732716326339,14.7429319176178,10.0688048252191,11.9920229660362,9.79205091405786,10.1597779011273
Hspa1l,9.3520086364954,10.5238740613778,7.12096290512433,8.27657903697378,7.20328468462307,7.77375048532232
