gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,gene_id_clean,gene_name_gtf,gene_type,gene_symbol,regulation_strict,abs_log2FC,rank_score
ENSMUSG00000037411.12,NA,16117.5326821036,3.110050464399193,0.13030433144728448,23.86759081494835,6.650655455447569e-126,1.1090633037504367e-121,UP,ENSMUSG00000037411,Serpine1,protein_coding,Serpine1,UP,3.110050464399193,376.1762897193762
ENSMUSG00000020826.10,NA,24104.52636928401,3.20459754376699,0.14349999717894188,22.331690639484226,1.8191392533121787e-110,1.5167983094116946e-106,UP,ENSMUSG00000020826,Nos2,protein_coding,Nos2,UP,3.20459754376699,339.10753874064955
ENSMUSG00000024190.8,Dusp1,5659.963924419032,1.7617143473423968,0.08129558880113423,21.670478968445796,3.896816081810515e-104,2.166110166009072e-100,UP,ENSMUSG00000024190,Dusp1,protein_coding,Dusp1,UP,1.7617143473423968,175.58006150974737
ENSMUSG00000029304.15,NA,281444.80231556983,1.3639302034913356,0.06921928472406026,19.704482774252657,1.9734841993627253e-86,8.2274556271432e-83,UP,ENSMUSG00000029304,Spp1,protein_coding,Spp1,UP,1.3639302034913356,111.95784856368424
ENSMUSG00000060477.15,NA,5224.806045199793,0.9221559956052718,0.05836757994416344,15.799113077626998,3.155245059548445e-56,1.052337332260597e-52,UP,ENSMUSG00000060477,Irak2,protein_coding,Irak2,UP,0.9221559956052718,47.9316814261276
ENSMUSG00000025151.17,NA,3418.0319653842644,0.7719080008005885,0.04940565213954712,15.623880413931609,5.0063803659134254e-55,1.3914399830328715e-51,UP,ENSMUSG00000025151,Maged1,protein_coding,Maged1,UP,0.7719080008005885,39.25656666192599
ENSMUSG00000045502.7,Hcar2,2496.2703813365124,2.567501691723983,0.16869229670402405,15.220029259716265,2.60414558249826e-52,5.428341466717623e-49,UP,ENSMUSG00000045502,Hcar2,protein_coding,Hcar2,UP,2.567501691723983,123.92132372116292
ENSMUSG00000056952.14,NA,2806.9645123368864,0.9935788605068976,0.06528087159391908,15.22006119476275,2.6028747224216623e-52,5.428341466717623e-49,UP,ENSMUSG00000056952,Tatdn2,protein_coding,Tatdn2,UP,0.9935788605068976,47.95541440625308
ENSMUSG00000030342.9,Cd9,12792.433176975326,1.1816327871706267,0.07793676696274766,15.161429364082109,6.3668488674342406e-52,1.179706352370371e-48,UP,ENSMUSG00000030342,Cd9,protein_coding,Cd9,UP,1.1816327871706267,56.633563369452325
ENSMUSG00000032515.9,Csrnp1,1248.9504326732392,1.3561570597151111,0.08960316885148978,15.135146190675858,9.49694335585048e-52,1.5837102740216262e-48,UP,ENSMUSG00000032515,Csrnp1,protein_coding,Csrnp1,UP,1.3561570597151111,64.8247472098267
