# packages in environment at /export/apps/bioconda:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
_python_abi3_support      1.0                  hd8ed1ab_2    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
aioeasywebdav             2.4.0              pyha770c72_0    conda-forge
aiohappyeyeballs          2.6.1              pyhd8ed1ab_0    conda-forge
aiohttp                   3.11.18         py310h89163eb_0    conda-forge
aiosignal                 1.3.2              pyhd8ed1ab_0    conda-forge
alsa-lib                  1.2.14               hb9d3cd8_0    conda-forge
amply                     0.1.6              pyhd8ed1ab_1    conda-forge
anndata                   0.10.7             pyhd8ed1ab_0    conda-forge
annotated-types           0.7.0              pyhd8ed1ab_1    conda-forge
anyio                     4.3.0              pyhd8ed1ab_0    conda-forge
appdirs                   1.4.4              pyhd8ed1ab_1    conda-forge
aragorn                   1.2.41               h031d066_3    bioconda
archspec                  0.2.3              pyhd8ed1ab_0    conda-forge
argon2-cffi               23.1.0             pyhd8ed1ab_0    conda-forge
argon2-cffi-bindings      21.2.0          py310h2372a71_4    conda-forge
argtable2                 2.13              h14c3975_1001    conda-forge
arpack                    3.9.1           nompi_h77f6705_101    conda-forge
array-api-compat          1.6                pyhd8ed1ab_0    conda-forge
arrow                     1.3.0              pyhd8ed1ab_0    conda-forge
astor                     0.8.1              pyhd8ed1ab_1    conda-forge
asttokens                 2.4.1              pyhd8ed1ab_0    conda-forge
async-lru                 2.0.4              pyhd8ed1ab_0    conda-forge
async-timeout             5.0.1              pyhd8ed1ab_1    conda-forge
attr                      2.5.1                h166bdaf_1    conda-forge
attrs                     23.2.0             pyh71513ae_0    conda-forge
aws-c-auth                0.7.22               hf36ad8f_6    conda-forge
aws-c-cal                 0.6.15               h816f305_1    conda-forge
aws-c-common              0.9.23               h4ab18f5_0    conda-forge
aws-c-compression         0.2.18               he027950_7    conda-forge
aws-c-event-stream        0.4.2               hb72ac1a_14    conda-forge
aws-c-http                0.8.2                h75ac8c9_3    conda-forge
aws-c-io                  0.14.9               hd3d3696_3    conda-forge
aws-c-mqtt                0.10.4               hb0abfc5_7    conda-forge
aws-c-s3                  0.5.10               h44b787d_4    conda-forge
aws-c-sdkutils            0.1.16               he027950_3    conda-forge
aws-checksums             0.1.18               he027950_7    conda-forge
aws-crt-cpp               0.26.12              he940a02_1    conda-forge
aws-sdk-cpp               1.11.329             h0f5bab0_6    conda-forge
azure-core-cpp            1.11.1               h91d86a7_1    conda-forge
azure-identity-cpp        1.6.0                hf1915f5_1    conda-forge
azure-storage-blobs-cpp   12.10.0              h00ab1b0_1    conda-forge
azure-storage-common-cpp  12.5.0               h94269e2_4    conda-forge
babel                     2.14.0             pyhd8ed1ab_0    conda-forge
barrnap                   0.9                  hdfd78af_4    bioconda
bbmap                     39.06                h92535d8_1    bioconda
bcrypt                    4.3.0           py310h505e2c1_0    conda-forge
beagle-lib                3.1.2                h9f5acd7_4    bioconda
beautifulsoup4            4.12.3             pyha770c72_0    conda-forge
bedtools                  2.31.1               hf5e1c6e_2    bioconda
binutils_impl_linux-64    2.40                 hf600244_0    conda-forge
bioconductor-rsubread     2.16.1            r43ha9d7317_0    bioconda
biopython                 1.85            py310ha75aee5_1    conda-forge
blast                     2.16.0               h66d330f_5    bioconda
